"KZV_NR";"ABR_ZEIT";"KGR";"KK_NR_BKV";"PW_KCH";"PW_KFO";"PW_ZE";"PW_PAR";"PW_KBR";"PW_IP"
"32";"2026Q1";"B";"932360039700";"1,4936";"1,2826";"1,3083";"1,4936";"1,4936";"1,5981"
"32";"2026Q1";"D";"932360050300";"1,3580";"1,1014";"1,1844";"1,3580";"1,3580";"1,4053"
"32";"2026Q1";"D";"932360054700";"1,3580";"1,1014";"1,1844";"1,3580";"1,3580";"1,4053"
"32";"2026Q1";"9";"935000110300";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"935000111100";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"H";"936004020400";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"H";"936004021200";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004200200";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004201000";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004207800";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"936004209400";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004221400";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"936004225600";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"936004244200";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004250700";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004253100";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004255700";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004256500";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004258100";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004262000";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004265400";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004281600";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004292100";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"936004299700";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004300800";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004307400";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"936004320200";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004342200";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004343000";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"9";"936004412700";"1,3234";"1,0978";"1,1844";"1,3234";"1,3234";"1,3885"
"32";"2026Q1";"D";"937006500000";"1,3195";"1,1014";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007024100";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007037200";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"937007045300";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007049500";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007052600";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007054200";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007100100";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007190400";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007306100";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007330400";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007338800";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007342700";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007384100";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007388300";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007481300";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007600100";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007667900";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007729300";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007732400";"1,3195";"1,0978";"1,1844";"1,3195";"1,3195";"1,4121"
"32";"2026Q1";"9";"937007733200";"1,3452";"1,0978";"1,1844";"1,3452";"1,3452";"1,4234"
"32";"2026Q1";"9";"952000841400";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000842200";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000843000";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000845600";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000847200";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"D";"952000850300";"1,3471";"1,1014";"1,1844";"1,3471";"1,3471";"1,3471"
"32";"2026Q1";"D";"952000851100";"1,3471";"1,1014";"1,1844";"1,3471";"1,3471";"1,3471"
"32";"2026Q1";"H";"952000863400";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000873100";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000874900";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000883800";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000886200";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000887000";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000888800";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000890100";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000941000";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000986800";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952000991500";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"9";"952009420300";"1,2846";"1,0978";"1,1844";"1,2846";"1,2846";"1,3678"
"32";"2026Q1";"B";"952128701900";"1,4936";"1,2826";"1,3083";"1,4936";"1,4936";"1,5981"
"32";"2026Q1";"D";"952360061600";"1,3471";"1,1014";"1,1844";"1,3471";"1,3471";"1,3471"
"32";"2026Q1";"D";"952360095600";"1,3471";"1,1014";"1,1844";"1,3471";"1,3471";"1,3471"
"32";"2026Q1";"D";"952360098900";"1,3471";"1,1014";"1,1844";"1,3471";"1,3471";"1,3471"
"32";"2026Q1";"9";"953007062300";"1,2933";"1,0978";"1,1844";"1,2933";"1,2933";"1,4000"
"32";"2026Q1";"9";"953007065700";"1,3526";"1,0978";"1,1844";"1,3526";"1,3526";"1,4234"
"32";"2026Q1";"9";"953007067300";"1,2933";"1,0978";"1,1844";"1,2933";"1,2933";"1,4000"
"32";"2026Q1";"D";"953360051400";"1,2791";"1,1014";"1,1844";"1,2791";"1,2791";"1,3598"
"32";"2026Q1";"9";"954009602700";"1,0422";"1,0978";"1,1844";"1,0422";"1,0422";"1,1405"
"32";"2026Q1";"9";"954009603500";"1,0422";"1,0978";"1,1844";"1,0422";"1,0422";"1,1405"
"32";"2026Q1";"D";"954360060500";"1,2622";"1,1014";"1,1844";"1,2622";"1,2622";"1,4018"
"32";"2026Q1";"9";"955007700700";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
"32";"2026Q1";"9";"955007724300";"1,3225";"1,0978";"1,1844";"1,3225";"1,3225";"1,5249"
